Species,NumPores,Radius,AvgIPD,MinIPD,Area,Perimeter,MajAxis,MinAxis,Circularity,AspRatio,Eccentricity,Roundness,Solidity,Mean,St_Deviation,Skewness,Kurtosis
Buffalo,52,15.56862213,109.9876577,27.53277361,822.5,143.8238846,49.97561282,23.49470291,0.544579913,2.264766252,0.862060587,0.419010296,0.816838584,21.43042831,46.62782861,0.861886527,20.79544692
Buffalo,63,14.75321942,96.96633886,26.26748067,742.0793651,130.1044286,43.07490096,24.12714284,0.583102608,1.910004458,0.803309571,0.497128155,0.834029681,19.77657013,44.79753105,2.301313195,124.1278473
Buffalo,24,19.6926419,155.4644984,95.94902659,1244.875,201.8664167,57.55861107,36.68720369,0.430944399,1.594316331,0.744282143,0.494545418,0.755153276,15.89377136,41.85167008,0.961168588,6.037883463
Buffalo,29,19.58262954,151.6376518,101.737841,1247.482759,204.8957586,59.80360426,36.35587216,0.428282791,1.71934998,0.773924009,0.440402252,0.736781869,19.05448685,44.07693355,12.03878887,1121.372958
Buffalo,28,19.88475076,150.3014699,31.51661228,1270.142857,194.7525,55.92275916,36.5110446,0.451863011,1.56668504,0.724103517,0.525749953,0.780953001,16.84627304,41.97663975,1.268659496,12.42823735
Buffalo,28,18.76164278,166.606296,107.0527613,1135.428571,188.4503571,56.17947505,33.77818655,0.433134281,1.692483262,0.782901526,0.462600178,0.752263327,16.06193695,41.52378085,4.18094791,612.3846976
Buffalo,32,16.42602546,142.9976849,25.00996832,907.3125,167.2725938,51.95206208,28.16789601,0.442206547,1.971928917,0.826456995,0.413349128,0.744326711,15.41948929,40.70449606,3.699942575,209.2623805
Buffalo,32,17.40277199,158.4141048,110.1198039,996.40625,184.14975,52.80193067,33.98943379,0.385922243,1.601941725,0.734484691,0.447489148,0.707603188,16.79667587,41.96758252,1.360068648,38.00609889
Buffalo,37,18.09857158,124.7635783,24.12287034,1109.756757,196.0541081,58.75180197,31.92224482,0.385528388,2.141847043,0.813223946,0.403854468,0.720095515,19.12939301,44.2101626,12.58891929,1176.977229
Buffalo,32,18.57267455,125.2707646,28.36226894,1155.25,190.8054063,55.3391891,33.92187118,0.417015136,1.664106715,0.771474253,0.462157348,0.737760299,19.04236679,44.79935621,1.62930598,33.99081077
Buffalo,31,17.55845157,143.2829735,25.1406818,1010.870968,188.3577419,52.29616349,33.31711189,0.376500647,1.655350032,0.751283485,0.459631008,0.727216122,18.52059479,43.82096073,1.348244793,10.42337494
Buffalo,37,17.4481313,143.931762,27.16367774,997.8918919,176.9363784,55.76754229,31.15834766,0.427753307,1.830788351,0.79127559,0.42729388,0.728826601,18.32859879,44.51820313,0.788086223,7.209057728
