BBTS1 (221),Buff,497.5095,16.95461,15.64291,14.14675,13.40137
BBTS1 (224),Buff,533.3359,17.28292,16.99249,16.40077,16.08367
BBTS1 (225),Buff,509.6937,17.57427,15.79685,14.75656,14.66018
BBTS1 (227),Buff,530.4486,19.39563,17.56519,17.4055,15.7036
BBTS1 (229),Buff,540.1817,17.02906,15.93072,14.93543,14.59695
BBTS1 (231),Buff,515.8274,23.29472,21.29182,19.85701,19.21551
BBTS1 (233),Buff,529.943,20.26596,18.37776,18.22773,16.56909
BBTS1 (25),Buff,556.0734,17.71619,17.0757,15.42443,14.44763
BBTS1 (26),Buff,536.4992,15.09007,14.84647,14.45573,13.57775
BBTS1 (27),Buff,575.0431,16.28636,14.78744,13.6745,12.8093
BBTS1 (28),Buff,576.5721,17.19013,15.92554,14.28181,12.8955
BBTS1 (29),Buff,577.4272,16.51856,15.76799,14.61086,14.09546
BBTS1 (30),Buff,589.3871,15.02588,13.65058,13.2125,12.19561
BBTS1 (31),Buff,597.1688,15.60668,13.13549,12.78484,11.84132
BBTS1 (34),Buff,575.9082,13.80371,13.76582,12.60295,12.30336
BBTS1 (35),Buff,572.663,14.59074,12.61587,12.19172,11.99997
BBTS1 (36),Buff,557.2099,15.19259,13.30689,12.86229,11.50016
BBTS1 (37),Buff,576.6677,15.24835,13.57731,13.51245,12.42679
BBTS1 (38),Buff,545.2684,20.46828,16.5775,16.30771,15.64941
BBTS1 (42),Buff,630.7065,19.83689,18.22892,17.19488,16.82049
BBTS1 (43),Buff,604.4726,15.20194,12.77619,12.17282,11.69536
BBTS1 (44),Buff,601.8556,15.34198,14.47099,13.30277,12.7241
BBTS1 (45),Buff,654.8019,20.40988,18.12006,17.12776,15.94464
BBTS1 (46),Buff,626.4158,18.66301,18.34488,16.79241,15.80559
BBTS1 (48),Buff,610.406,18.50192,15.88972,15.62982,14.9377
BBTS1 (5),Buff,655.8626,16.9351,16.68237,16.09277,15.02301
BBTS1 (50),Buff,587.507,15.82562,15.47248,14.59155,13.72778
BBTS1 (52),Buff,592.4908,21.7314,19.45202,18.89944,17.19078
BBTS1 (55),Buff,572.8647,16.69839,15.57125,15.07441,13.70147
BBTS1 (56),Buff,632.4657,21.09057,18.79043,17.65914,16.96397
BBTS1 (57),Buff,559.5331,21.1484,18.77574,18.62457,17.46257
BBTS1 (58),Buff,577.1153,17.2549,14.93531,14.76513,13.89344
BBTS1 (59),Buff,533.5661,19.45119,17.72584,15.64998,15.03328
BBTS1 (6),Buff,640.1292,16.88491,16.71307,16.05264,14.96405
BBTS1 (61),Buff,590.9713,20.96768,19.79542,17.98405,16.49194
BBTS1 (62),Buff,661.9482,25.24414,23.34663,22.87659,21.02217
BBTS1 (63),Buff,605.8638,24.70023,23.72167,21.50584,20.84855
BBTS1 (64),Buff,561.515,20.03716,16.89003,16.56215,15.29509
BBTS1 (70),Buff,558.7831,18.78332,17.62686,14.81033,14.77144
BBTS1 (76),Buff,599.598,16.05064,14.25203,13.47401,12.77455
BBTS1 (77),Buff,614.185,16.61421,15.22363,14.98842,13.74941
BBTS1 (8),Buff,571.199,16.25814,15.50065,14.72388,14.08154
BBTS1 (81),Buff,593.4098,15.55839,14.98684,13.7338,12.86507
BBTS1 (88),Buff,554.5334,15.79042,14.10226,12.25105,12.13071
BBTS1 (89),Buff,549.0376,15.79513,13.81357,13.19136,11.69969
BBTS1 (95),Buff,591.1563,16.3402,14.98382,14.92034,13.93298
BBTS1 (98),Buff,487.3353,13.89673,12.51853,11.17484,10.81551
BBTS8 (1),Buff,460.2766,14.56538,12.77876,12.62299,11.58253
BBTS8 (10),Buff,516.3291,13.32601,12.4268,11.80647,11.34302
BBTS8 (100),Buff,477.534,15.40772,14.4538,14.08601,13.03422
BBTS8 (11),Buff,525.7601,13.15924,12.61998,12.10287,11.64311
BBTS8 (13),Buff,457.594,13.03986,12.74914,12.12939,11.52804
BBTS8 (14),Buff,494.973,14.31482,14.00199,13.63879,12.36493
BBTS8 (15),Buff,508.8497,15.95592,15.19113,13.95415,12.93765
BBTS8 (17),Buff,511.3087,12.7546,11.70323,10.85466,10.83556
BBTS8 (18),Buff,496.9334,19.42524,15.24968,14.73928,14.04549
BBTS8 (2),Buff,466.1221,14.83659,13.09342,12.70682,11.68741
BBTS8 (20),Buff,510.0268,14.35098,13.97778,12.58187,11.96016
BBTS8 (21),Buff,510.385,12.67751,12.24504,11.09418,10.68953
BBTS8 (22),Buff,513.6321,13.14669,12.56653,12.35307,11.82086
BBTS8 (23),Buff,504.8887,12.5872,12.00887,11.29454,10.96089
BBTS8 (24),Buff,504.1704,14.20486,13.77428,13.17175,12.09344
BBTS8 (26),Buff,513.6643,13.00592,12.42663,11.99677,11.67782
BBTS8 (27),Buff,471.1166,13.98805,12.21102,10.94615,10.6642
BBTS8 (28),Buff,497.5872,13.37947,12.73767,12.32595,11.55693
BBTS8 (29),Buff,497.463,16.0207,15.11154,14.74917,13.3281
BBTS8 (3),Buff,475.0315,12.97097,12.80307,11.99083,11.68746
BBTS8 (30),Buff,498.1619,15.42602,15.04355,14.14715,13.05409
BBTS8 (32),Buff,480.8333,14.812,14.44935,12.26271,12.18775
BBTS8 (33),Buff,486.7266,13.0237,12.21541,11.73101,11.43382
BBTS8 (35),Buff,503.9855,16.38317,13.98235,12.6502,11.11474
BBTS8 (36),Buff,478.6735,13.09706,12.62256,11.9997,11.73248
BBTS8 (37),Buff,463.9311,13.12723,12.18691,11.42685,11.04221
BBTS8 (38),Buff,512.1375,15.01709,14.02759,13.46773,12.49715
BBTS8 (39),Buff,523.8048,13.24545,12.74948,12.22596,12.11392
BBTS8 (4),Buff,485.1382,13.04405,12.2422,11.95822,11.3401
BBTS8 (40),Buff,489.0189,13.67952,13.01334,11.83101,11.4361
BBTS8 (42),Buff,486.8098,15.36747,13.8343,13.25804,11.88557
BBTS8 (43),Buff,506.9232,14.11985,13.39316,11.9501,11.50567
BBTS8 (44),Buff,495.7683,14.33712,13.60564,12.33171,12.12833
BBTS8 (46),Buff,491.49,13.8532,12.7247,12.26341,11.74787
BBTS8 (47),Buff,478.8609,13.92939,13.3697,12.88912,12.36494
BBTS8 (48),Buff,487.053,15.55158,14.19364,12.80997,12.42399
BBTS8 (5),Buff,500.7281,15.25362,15.19244,14.37956,13.46904
BBTS8 (50),Buff,496.2662,12.54076,11.92321,11.25816,10.91623
