BBTS1 (113),Buff,540.4899,17.9734,15.01122,14.605,14.41981,13.7658,13.25616,12.58098,11.6859,11.35385
BBTS1 (117),Buff,560.9191,17.9634,15.71362,14.63506,13.59354,13.13859,12.8165,12.28793,11.69387,11.1967
BBTS1 (118),Buff,565.0142,14.89565,14.33364,13.57757,11.95683,11.69381,11.35714,11.06234,10.32217,10.23545
BBTS1 (119),Buff,555.0939,15.06087,13.97426,13.19346,12.70673,11.53062,11.19469,10.62845,10.54175,10.44807
BBTS1 (121),Buff,532.0044,15.41758,14.51533,14.05247,12.62587,12.1039,11.3872,10.68907,10.14519,9.696765
BBTS1 (122),Buff,535.0071,16.45814,14.63126,13.61291,12.83809,12.49244,11.4952,10.93457,10.62583,10.07894
BBTS1 (123),Buff,533.1018,15.66815,13.97327,12.89922,12.39259,11.96595,11.54207,11.21345,10.6697,10.38436
BBTS1 (124),Buff,529.816,16.51655,14.80721,13.5196,12.62164,11.60454,11.43712,10.61073,10.16882,9.951283
BBTS1 (125),Buff,505.7651,15.42463,14.11949,13.77677,12.96616,12.52301,12.03532,11.63589,11.46643,10.84758
BBTS1 (129),Buff,503.0315,20.90344,18.89972,17.41751,17.12021,15.87114,14.55607,14.06184,13.36117,12.88991
BBTS1 (13),Buff,578.8373,15.81598,13.98267,12.68677,12.40168,12.02403,11.35818,10.29259,9.961018,9.203609
BBTS1 (132),Buff,551.7068,20.12578,17.49947,17.06787,16.32832,15.32754,14.68337,14.20705,13.51729,13.06917
BBTS1 (133),Buff,531.8927,23.348,21.15111,19.0999,18.48946,17.71094,16.51602,16.0964,15.43496,14.0192
BBTS1 (137),Buff,539.5241,17.97752,17.28522,16.36003,15.03984,14.07588,12.90155,12.37721,11.73782,11.13829
BBTS1 (139),Buff,526.0031,15.48645,15.10322,13.66129,13.34112,12.9997,12.73361,12.06879,11.32404,10.70616
BBTS1 (14),Buff,569.7622,15.2324,14.65459,13.50289,12.66014,11.46534,10.89496,10.64057,9.948807,9.557975
BBTS1 (141),Buff,529.4263,14.93057,13.72032,12.78728,11.64885,11.3492,10.94849,10.43701,10.08751,9.757297
BBTS1 (142),Buff,558.0712,14.38116,14.14003,12.84092,12.1161,11.68326,11.56717,10.83699,10.75022,10.14333
BBTS1 (143),Buff,523.1822,12.22257,11.61386,11.22932,10.84803,10.25771,9.903675,9.347581,9.20451,8.834138
BBTS1 (144),Buff,527.2852,16.14089,12.83884,12.08736,11.65947,10.54454,10.03296,9.828751,9.710481,9.110515
BBTS1 (145),Buff,519.2595,13.92465,12.00467,11.52612,11.3447,10.69613,10.48742,10.14547,9.366828,9.298064
BBTS1 (146),Buff,525.2955,15.06803,13.51216,13.13054,12.59106,11.91598,11.49742,11.17773,10.83222,9.844978
BBTS1 (151),Buff,611.0686,19.77916,18.73874,16.89856,16.74636,14.40817,13.09141,12.83112,11.97413,11.1295
BBTS1 (152),Buff,596.8224,16.2437,15.32227,14.55915,13.76084,13.00973,12.62544,12.00724,10.96341,10.66889
BBTS1 (154),Buff,567.3158,19.40341,16.36484,15.43436,14.80134,14.11088,13.63322,12.22134,11.42461,10.83744
BBTS1 (155),Buff,551.4025,17.19924,16.64232,15.28335,13.89627,13.35095,13.00908,11.91158,11.66139,11.10912
BBTS1 (158),Buff,493.0099,29.93029,27.03349,24.60377,23.39541,22.34326,22.15389,17.93294,16.41912,15.72439
BBTS1 (159),Buff,507.2624,29.2496,28.10705,26.25569,25.09175,24.00425,23.43076,21.60552,19.64537,18.21997
BBTS1 (16),Buff,534.3124,13.54375,12.59881,12.53727,11.62105,10.96943,10.51081,10.12389,9.609043,9.392812
BBTS1 (173),Buff,569.7566,17.18812,15.25327,14.37555,13.89776,13.09206,12.00785,11.58202,11.16923,9.964635
